Empresa,Area,Ubicacion,Descripcion
Alimentos de Cortes,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Alimentos de Cortes S.A. de C.V. es una empresa dedicada a la Produccion de Alimentos (Jugo Florida, Lacteos mi Vaca). Cuenta con sucursales a Nivel Nacional."
Agroindustrias Del Corral,Agricultura / Pesca / Ganaderia,"Siguatepeque, Comayagua",Somos una empresa de solido prestigio dedicada al procesamiento y venta de productos carnicos lideres a nivel nacional. Con procesos de alta calidad que garantizan un producto inocuo.
Aquafeed S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Francisco de Yojoa, Cortes",Elaboracion y fabricacion de alimento concentrado para animales
"FORAGRO HONDURAS, S.A.",Agricultura / Pesca / Ganaderia,"Taulabe, Comayagua","Fundada en 1988 por un grupo de emprendedores con un fin en comun, ""Promover el desarrollo agricola de la region,comprometiendose con el agricultor a traves de productos innovadores y de calidad""."
PROAGRO,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Somos una empresa que se dedica a la elaboracion y comercializacion de fertilizantes y productos agroquimicos,estamos en toda la region Centroamerica ofreciendo productos de calidad a nuestros clientes."
Procasa,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",La empresa fabricacion pallets madera y agricultura
Profil Honduras S.A.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Somos una empresa que se dedica a la venta de producto para sector pecuario (cerdo, aves y bovinos. Tenemos una filiar en Tegucigalpa y Guatemala, nuestra matriz esta en el Salvador. Estamos en Honduras desde el ano 1998."
Mercon Honduras,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Mercon Honduras (CIGRAH)
Corporacion Industrial de Sula,Agricultura / Pesca / Ganaderia,"Choloma, Cortes","Somos una empresa dedicada a la extraccion de aceite de palma africana, tambien nos dedicamos a la importacion y exportacion de la misma, somos una empresa que se preocupa por el bienestar de sus empleados."
DON DOMINICO SA DE CV,Agricultura / Pesca / Ganaderia,"Danli, El Paraiso","Somos una empresa productora de tomates con calidad exportacion, ubicados en Danli."
Honduraschips Manufacturing S.A. de C.V.,Agricultura / Pesca / Ganaderia,"Comayagua, Comayagua",Somos una empresa dedicada a la exportacion de snaks al extranjero llevando mas de 10 anos en el rubro.
MEGA DISTRIBUIDORA AVICOLA S.A,Agricultura / Pesca / Ganaderia,"Distrito Central, Francisco Morazan","Somos una empresa enfocada en la atencion del cliente, diferenciandonos por la comercializacion de un huevo fresco e higienico producido en fincas tecnificadas; utilizando los mejores canales de distribucion, promoviendo el desarrollo de nuestro recurso humano a traves de programas de capacitacion, por la aplicacion de procesos tecnologicos que contribuyen a una optimizacion de los recursos; fomentando una cultura organizacional orientada en valores y cuidado del medio ambiente."
"Profil, S.A. de C.V.",Agricultura / Pesca / Ganaderia,Comayagua,Somos una empresa dedicada a la venta de producto para el sector agropecuario a nivel centroamericano
Procesadora Guangolola de Carnes,Agricultura / Pesca / Ganaderia,"Villanueva, Cortes","PROGCARNE, es una Procesadora y criadora de productos de origen animal, los cuales estan considerados dentro de la canasta basica, ademas estando nuestras producciones y explotaciones dentro del rubro de agricultura. Nuestra Mision Mantener un Activo liderazgo nacional y fortalecer nuestra participacion en el mercado internacional mediante el suministro de productos carnicos de la mas alta calidad, la prestacion de servicios eficientes y la atencion permanente en toda la industria de la region. Nuestra Vision Consolidarse como una empresa innovadora, creciente y economicamente exitosa, inspirada por un moderno espiritu de calidad de avance tecnologico. en un modelo empresarial reconocido y en una fuente de desarrollo para el pais y la humanidad"
Cultimarine SAC,Agricultura / Pesca / Ganaderia,Extranjero,Empresa dedicada al cultivo y criadero de conchas de abanico y tilapia para su exportacion.
Cosmocel,Agricultura / Pesca / Ganaderia,Comayagua,"Cosmocel es una empresa importante internacionalmente enfocada al giro de la Agricultura fundada desde 1960 con una vision de satisfacer repetidamente y siempre las expectativas de nuestros clientes, con calidad total, valor agregado y velocidad de respuesta que cumpla y supere sus expectativas."
"Agroindustrial de Zacapa, S.A.",Agricultura / Pesca / Ganaderia,Comayagua,"Empresa dedicada a la produccion y exportacion de pepinos y sandias para el mercado de USA. Ubicada en Jalapa, Guatemala. Oportunidad de empleo es en Jalapa, Guatemala."
Agroinsdustria Golden Van AR de IC,Agricultura / Pesca / Ganaderia,Extranjero,"Empresa dedicada a la Agricultura 100% al cultivo y comercializacion de pina cayena y MD2. Con mas de 50 anos de experiencia en el mercado mexicano. Actualmente sembramos, cosechamos y empacamos el productos nos encontramos en tiendas como Costco, Sams, Soriana etc. Nuestra razon de ser es ofrecer a nuestros Clientes Pina con la Maxima Calidad del mercado. Con Experiencia, Desarrollo y Avance Constante."
Proyecto Actividades Acuicolas en el Golfo de Fonseca,Agricultura / Pesca / Ganaderia,"San Lorenzo, Valle","El proyecto tienen como Objetivo General: Contribuir en la Mejora de la calidad de vida de los pescadores/as artesanales del Golfo de Fonseca promoviendo iniciativas productivas sostenibles y amigables con el medio ambiente, las areas de actuacion son 7 municipios costeros del Golfo de Fonseca-Honduras. Objetivos especificos: Desarrollar alternativas economicas sostenibles y amigables con el medio ambiente mediante el fortalecimiento de Jovenes y Mujeres prioritariamente por medio de la formacion, complementada con insumos/materiales/equipos, fortaleciendo el engranaje economico del de las comunidades de Golfo de Fonseca, logrando el empoderamiento y conocimiento de los derechos y deberes de cada uno de ellos en sus ambitos de desarrollo, Aumentando y diversificar los ingresos de pescadores/as artesanales y sus medios de alimentacion. Aumentar las capacidades y la organizacion social de los pescadores/as y de las instituciones contrapartes para el logro de una mayor participacion e incremento de su capacidad productiva y de actuacion. Contribuir a la investigacion, desarrollo e implementacion de proyectos productivos con especies nativas de alto valor comercial (pargo, robalo, corvino) con la finalidad de repoblar y poder ejercer en el corto y mediano plazo la acuicultura como alternativa para el sector pesquero artesanal. Apoyar la mejora de las embarcaciones (Instalacion de cavas y lonas) de los pescadores/as para lograr mermar el dano que se produce en el pescado por el mal proceso en la cadena de frio."
Grupo Granjas Marinas,Agricultura / Pesca / Ganaderia,"Choluteca, Choluteca","Somos una empresa que Cultiva, Procesa y Comercializa productos acuaticos con las mas alta Calidad y competitividad, satisfaciendo los requerimientos de nuestros clientes a traves de una Politica de Mejora Continua enfatizando la sostenibilidad Ambiental e Inocuidad de nuestros productos y servicios."
Agro-exportadora DOME,Agricultura / Pesca / Ganaderia,"Comayagua, Comayagua","Agro-exportadora dome, es una empresa dedicada al cultivo, comercializacion y exportacion de vegetales orientales, tuberculos, y similares, estamos establecidos desde hace 6 anos, y nuestros mercado es USA, Canada, y ahora entrando al mercado de Holandez."
"Xoco, SA de CV.",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Somos una empresa que se dedica a la produccion de cacao, para mayor referencia visitar wwww.xocogourmet.com"
Inversiones Honduras,Agricultura / Pesca / Ganaderia,"Esparta, Atlantida","Distribuidora en productos agricolas, derivados de lacteos Somos una organizacion sostenible de pequenos productores y productoras agricolas con enfoque empresarial que presta servicios de comercializacion, ofertando al mercado productos de calidad."
AGRO NEGOCIOS S.A,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",EMPRESA TRANSNACIONAL UBICADA EN HONDURA. DEDICADA A LA COMERCIALIZACION DE PRODUCTOS PARA EL CAMPO CON EL FIN DE BRINDAR NUTRICION VEGETAL A SUS CULTIVOS Y GARANTIZAR LA MEJOR CALIDAD EN SUS PRODUCTOS.
BIO LARVA AQUACULTURE,Agricultura / Pesca / Ganaderia,"Marcovia, Choluteca","Bio Larva Aquaculture S.A. es una empresa acuicola que esta localizada en el Golfo de Fonseca, Municipio de Marcovia, Departamento de Choluteca. Fue fundada en el ano 2008 como un nuevo negocio de acuacultura marina con la idea de innovar en el mercado de post larvas de camaron a traves de uso de Biotecnologia acuatica, enfocada en hacer de los procesos complicados masfaciles de realizar e ir creciendo de acuerdo a la demanda estimada. Es una empresa asociada a la innovacion y al desarrollo de tecnologias. Su diseno y comercializacion estan orientados completamente al cliente."
"CRAFTOP, S.A.",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Fundada en 2002, CRAFTOP cuenta con su propia marca donde fabrica y disena maquinaria agricola y de jardin, para clientes en mas de 30 paises, entre los que se encuentran: Reino Unido, Espana, Francia, Alemania, Estados Unidos, Dubai y Brasil."
Sermisa ( Grupo Jaremar ),Agricultura / Pesca / Ganaderia,"Tela, Atlantida","Sermisa, empresa lider dedicada al cultivo y produccion de palma aceitera y fruta fresca de palma, empresa lider del (GRUPO JAREMAR), fundada en 1994 por Tela Rail Road Company."
Cafes Finos de Exportacion,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Caffex is a company based in Honduras that exports green coffees of superior qualities and consistencies to 21 countries around the world. Coffees are sourced from independent, organized producers and intermediaries around Honduras. Since its beginning, the company established transparent relations with its supply chain. Everyday, Caffex works together with producing communities to improve methods of producing, processing and supplying. This alliance has created social and economic impacts among producers, as well as a superior cup."
Foragro Honduras,Agricultura / Pesca / Ganaderia,Cortes,"Nos dedicamos a la elaboracion, distribucion y venta de productos agroquimicos en toda la region. Nuestro objetivo principal es satisfacer al cliente segun sus necesidades mediante la linea de productos especializados que tenemos. Somos una empresa con mas de 25 anos en el mercado, lider en nuestro ramo."
"Proteina, S.A",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Somos una empresa dedicada a la produccion de alimentos para la nutricion animal.
Farm 4 Limited,Agricultura / Pesca / Ganaderia,Cortes,"Farm 4 Limited es una finca del grupo de Eugene Zabaneh Enterprise se dedica a la produccion de banano de exportacion en el Sur de Belize en 3 fincas bananeras, con mas de 20 anos de presencia en Belize. Miembro de BGA Belize (Banana Growers Association)."
Cosmocel SA,Agricultura / Pesca / Ganaderia,---,"Cosmocel es una empresa Mexicana, localizada en la ciudad de Monterrey, Nuevo Leon, Mexico. Dedicada desde su fundacion en 1960, a la produccion y comercializacion de productos de especialidad en el sector de la NUTRICION VEGETAL, para los mercados horticola, fruticola, ornamental y de granos."
Pioneer,Agricultura / Pesca / Ganaderia,Extranjero,Semillas Hibridas de Maiz y Sorgo
Grupo IM,Agricultura / Pesca / Ganaderia,"Comayagua, Comayagua","Somos un grupo de empresas lideres en la produccion , empaque y exportacion de vegetales hacia los Estados Unidos"
Monsanto,Agricultura / Pesca / Ganaderia,Francisco Morazan,"Monsanto es una empresa agricola. Aplicamos la innovacion y la tecnologia para ayudar a los agricultores de todo el mundo a producir mas y a la vez conservar mas. Ayudamos a los agricultores a cultivar el rendimiento sostenible para que puedan tener exito, producir alimentos mas saludables, mejores alimentos para animales y mas fibra, mientras que permiten reducir el impacto de la agricultura en nuestro medio ambiente."
Xoco S.A de C.V.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Xoco [sho-koh] is a company with the goal of producing the best flavored cocoa beans in the world. The company is located in Central America, where we have carefully selected the finest cocoa trees in the region and are reproducing them in the millions. We entrust the trees to qualified local farmers, providing them with technical assistance to succeed as cocoa producers. Once the trees begin to produce, we collect, process and export the beans. Our commitment to quality is relentless. We understand that gourmet chocolate manufacturers depend on receiving beans with specific flavor attributes, consistent quality and predictable volume. We expect to export the first commercial volumes by the end of 2010."
Yeiner Molina R,Agricultura / Pesca / Ganaderia,---,Firma de biologos estudios ambientales
"AGROVAL, HONDURAS",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Agroval, es una empresa dedicada a la importacion de paquetes nutricionales de Milan Italia, enfocado al beneficio de la Agricultura a nivel nacional, con un recorrido en el mercado de 40 anos en nuestro pais Honduras."
Integral S.A. de C. V.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Empresa dedicada a la produccion de alimentos concentrados para aves de corral y ganado en general. Fundada en el ano 2012 para satisfacer la demanda de productos concentrados a clientes dedicados a la avicultura, porcicultura y ganaderia en toda la region."
Distribuidora MyD,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",elaboracion y distribucion de carnes y embutidos. planta procesadora y distribuidora a nivel nacional. supervisada por SENASA y la SERNA. alta responsabilidad social en el manejo y distribucion de alimentos.
Agrolibano,Agricultura / Pesca / Ganaderia,"San Lorenzo, Valle","Localizada en la ciudad de San Lorenzo, Departamento de Valle en la region sur de Honduras; Grupo Agrolibano es una corporacion formada por Agropecuaria Montelibano dedicada a la agricultura, Industria Camaronera del Sur dedicada a la acuacultura, Ornamentales del Valle dedicada a la produccion de ornamentales y Bosques Cuyamapa dedicada a la silvicultura."
Inversion Agricola y Ganadera La Rosada S de RL,Agricultura / Pesca / Ganaderia,"Las Vegas, Santa Barbara","Somos una empresa productora y comercializadora de productos agricolas, lider en el mercado nacional e internacional, que se caracteriza por el cumplimiento de estandares de calidad, innovacion constante de nuestros procesos y proteccion del medio ambiente, manteniendo la alta vocacion de servicio, honestidad, trabajo en equipo y responsabilidad para satisfacer las necesidades de nuestros clientes."
EYL Comercial Agropercuaria,Agricultura / Pesca / Ganaderia,"Distrito Central, Francisco Morazan","Eyl Comercial Agropecuaria S.A. cuenta con mas de 20 experiencia en la importacion y comercializacion de insumos agro veterinarios y equipo portatil de uso agricola, en el mercado nacional."
Florana Farms S.A,Agricultura / Pesca / Ganaderia,Francisco Morazan,"Florana Farms S.A. produce una amplia gama de rosas super premium, follajes, flores tropicales y de bambu. Fundada hace 20 anos, somos una empresa dinamica e innovadora ecuatoriana que ofrece productos de alta calidad con los avances tecnologicos y la aplicacion de elementos organicos que protegen no solo a nuestros trabajadores, sino tambien el medio ambiente."
"Comercial Exportadora, S.A. de C.V.",Agricultura / Pesca / Ganaderia,Intibuca,"Comercial Exportadora, S.A. de C.V. (COEX), es una compania especializada en la industria del cafe; sus actividades, inician en las plantaciones orientando a los productores acerca de los procedimientos para producir cafe de calidad a bajo costo, continuan con el proceso de este para exportarlo crudo, como materia prima de la Industria Tostadora y terminan cuando lo sirve listo para ser deliciosamente degustado en una taza."
Empacadora San Lorenzo,Agricultura / Pesca / Ganaderia,Valle,"Somos una empresa que cultiva, procesa y comercializa productos pesqueros de la mas alta calidad satisfaciendo los requerimientos de nuestros clientes, a traves de un mejoramiento continuo , enfatizando la sostenibilidad con el medio ambiente; contado para ello con el talento humano, la tecnologia y el equipo adecuado, de manera que aseguramos generar progreso y bienestar para el pais, empleados y socios estrategicos ."
Inversiones Mejia S. de R.;,Agricultura / Pesca / Ganaderia,"Comayagua, Comayagua","Exportacion de vegetales orientales, frutas y tuberculos a los Estados Unidos de America"
Dairy,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Lacteos
Xoco S.A de C.V.,Agricultura / Pesca / Ganaderia,Cortes,"Para saber de nosotros, visite nuestra pagina www.xocogourmet.com"
Sainz,Agricultura / Pesca / Ganaderia,Extranjero,Empresa para la optimizacion de los recursos agricolas.
Ocean Delight Honduras,Agricultura / Pesca / Ganaderia,"Santa Lucia, Francisco Morazan","OCEAN DELIGHT es una empresa dedicada a la comercializacion de pescados y mariscos frescos y congelados, tanto importados como nacionales. Todos nuestros productos son distribuidos en los principales supermercados, Hoteles y restaurantes."
Monsanto,Agricultura / Pesca / Ganaderia,Extranjero,"Monsanto es una empresa dedicada totalmente a la agricultura y trabajamos todos lo dias por conocer las necesidades de los agricultores y generar soluciones que les ofrezcan beneficios para poder producir mas, utilizando menos recursos y sobre todo, mejorar su calidad de vida. Nuestra gente es la que construye nuestra empresa. Constantemente buscamos personas talentosas que contribuyan con Monsanto a traves de su desarrollo personal."
Malayo Panama,Agricultura / Pesca / Ganaderia,---,"Empresa con 11 anos en el sector palmero y hulero , importador y comercializador con herramientas desde Malasya especializado en estos cultivos busca vendedor freelance para Honduras y Nicaragua .con experiencia y con relaciones comerciales en estos cultivos."
GRUPO CADELGA,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Te invitamos a visitar nuestra pagina: www.grupocadelga.com/trabajo
FUNDER Proyecto SurCompite,Agricultura / Pesca / Ganaderia,"Choluteca, Choluteca","La Fundacion para el Desarrollo Empresarial Rural (FUNDER), es una institucion privada, con personalidad juridica y patrimonio propio, apolitica, sin fines de lucro, que presta sus servicios sin discriminacion alguna por motivos de raza, sexo, ideologia politica, religion o cualquier otra causa. FUNDER fue constituida para mejorar las condiciones de vida de la poblacion rural hondurena mediante mecanismos de emprendedurismo que permitan la inclusion y sostenibilidad financiera de las familias rurales, asi como la sostenibilidad ambiental de sus respectivos entornos. Para lograr su respectivo mandato, la Fundacion ha gestionado apoyo para una ejecucion exitosa de proyectos con impactos reales y medibles en las comunidades rurales (financiero y no financiero) bajo diferentes mecanismos y fuentes, tales como Donaciones, Fondos de Cooperacion Internacional, Voluntariado, Generacion de Recursos Locales (incluyendo el ahorro) en las comunidades rurales para impulsar su propio desarrollo y Alianzas Estrategicas con la empresa privada, gobierno, comunidades rurales y productores."
COEXMAR S de R.L,Agricultura / Pesca / Ganaderia,"Choluteca, Choluteca","Somos una empresa hondurena ubicada en Choluteca, con experiencia y pasion por lo que hacemos, dedicada a la produccion, comercializacion de mariscos, pionera en las exportaciones de camaron a Mexico y Centro America, con presencia y crecimiento en mercados de Asia y UE; producimos con responsabilidad socio ambiental y estamos comprometidos con la satisfaccion de nuestros clientes, accionistas, proveedores y la formacion de nuestro capital humano."
Cultivos Marinos S.A. (CUMAR),Agricultura / Pesca / Ganaderia,"Choluteca, Choluteca",Empresa dedicada al produccion de Camaron en la zona Sur de Honduras. Trabajamos bajo altos estandares de produccion siguiendo generando empleos y contribuyendo con el desarrollo de los departamentos de Valle y Choluteca.
ZELLAG AG,Agricultura / Pesca / Ganaderia,---,"Empresa quimica multinacional Alemana con central en Suiza productora de pesticidas para la agricultura (insecticida, fungicidas, herbicidas, etc.)"
Agro Alimentos Victoria SA de CV,Agricultura / Pesca / Ganaderia,"Choloma, Cortes","AGRAVIC es una empresa insigne de la region, que mantiene la mejor tecnologia en el procesamiento del arroz, lo que le permite ostentar el liderazgo del mercado arrocero del pais."
Proyecto de Desarrollo Pesquero en el Golfo de Fonseca,Agricultura / Pesca / Ganaderia,"San Lorenzo, Valle","Nuestro proyecto tiene como objetivos: Fomentar el desarrollo pesquero sostenible en el Golfo de Fonseca. Aumentar la calidad de vida de los pescadores/as por medio de actividades productivas alternativas a la pesca tradicional, mejoras en el sistema de comercializacion y una ordenacion pesquera que genere aumentos sostenibles de la captura a largo plazo."
Ecolatec. c.a.,Agricultura / Pesca / Ganaderia,Extranjero,Empresa dedicada a la distribucion y comercializacion de tecnologia agricola ecologica. Especializada en equipos solares para el control de plagas en cultivos.
"Excosur, s.a.",Agricultura / Pesca / Ganaderia,Choluteca,"Nos dedicamos a la produccion y exportaciones de melones y sandias al mercado de estados Unidos y Europa. Volumen de produccion de 2,000,000 de cajas de melon de 40 lbs. Establecidos desde 1992 en Choluteca, Honduras."
Xoco S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Xoco es una compania internacional con sede en Mesoamerica y con inversionistas de Centro America, Dinamarca y Estados Unidos. Xoco es una compania cuya mision es la de promover el desarrollo del mercado de cacao fino gourmet. Empezamos con la identificacion de arboles que pueden producir granos finos; los reproducimos y los vendemos cuando son jovenes a los nuevos productores. La vision de Xoco es ser el proveedor de cacao fino lider en el mundo."
Lacteos El Boqueron,Agricultura / Pesca / Ganaderia,Olancho,"Somos una Empresa Hondurena, que brindamos productos lacteos con los mejores estandares de calidad e higiene."
Del Campo Soluciones Agricolas,Agricultura / Pesca / Ganaderia,"Distrito Central, Francisco Morazan","Del Campo Soluciones Agricolas es una empresa con un paquete de soluciones para cubrir las necesidades del sector agricola en lineas como Riegos, Veterinaria, Equipos, Fitosanitarios, Nutricion y Semillas, asi como tambien a disenado soluciones para el financiamiento de sus clientes. Atendemos un segmento de mercado de pequenos y medianos agricultores; y exportadores de tamano medio, representando en la actualidad a fabricantes de reconocidas marcas mundiales y de paises como Japon, Alemania, Espana, Bulgaria, U.S.A, Centro America y otros."
La Florida,Agricultura / Pesca / Ganaderia,Cortes,"La Florida S. de R.L es una empresa dedicada, entre otros a la avicultura y ganaderia. Su enfoque principal es la cria y engorde de aves."
"Fondo Ganadero de Honduras, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Fondo Ganadero de Honduras S.A. de C.V., inicio operaciones el 2 de Noviembre de 1984, como fruto del convenio celebrado el 30 de Septiembre de 1982, entre el Gobierno de los Estados Unidos a traves de la Agencia Internacional para el Desarrollo (AID) y el Gobierno de la Republica de Honduras, conocido como Proyecto Mejoramiento Ganadero para Pequenos y Medianos Productores. Mision El Fondo Ganadero de Honduras, S.A. de C.V., es una empresa de capital mixto, con fines de lucro, cuyo negocio se realiza a traves de la formacion de unidades de produccion ganadera, la dotacion de creditos, servicios y la venta de insumos necesarios para la produccion. La mision de la empresa se realiza mediante programas de Ganaderia, Agroindustria y Agroservicios. Vision Ser una empresa solida e innovadora, lider en el desarrollo eficiente de la ganaderia Nacional, que garantiza servicios de calidad acorde con las exigencias y cambios del mercado nacional e internacional, y con personal comprometido con la mision institucional. Objetivos El objetivo general de la Empresa es proporcionar ganado bovino a individuos y organizaciones hondurenas interesados en iniciar o ampliar sus operaciones ganaderas, mediante Participacion y/o Credito. La finalidad es aumentar la produccion nacional de carne y de leche, para apoyar las exportaciones, disminuir las importaciones y mejorar la dieta de la poblacion hondurena con productos de origen animal. Los objetivos particulares de la empresa se refieren a: -Formacion de unidades ganaderas -Dotacion de creditos -Venta de insumos para la produccion"
Grupo Agrolibano,Agricultura / Pesca / Ganaderia,"San Lorenzo, Valle",Acerca de Nosotros
Agropec S.A.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Dedicada a la Comercializacion de Equipo y productos para La Ganaderia y Especies Menores. Especialistas En Equipo para la industria Lactea y Agro industrial,Como ser Queserias y sus sub productos.Equipo para la idndustria alimenticia."
"Revetmex, SA de CV",Agricultura / Pesca / Ganaderia,Extranjero,"Somos una empresa Mexicana con casi cincuenta anos de experiencia en la fabricacion y desarrollo de Medicamentos Veterinarios. Gracias a los altos estandares de calidad, incursionamos exitosamente en mas de doce paises de Centroamerica, el Caribe, Asia y Africa. Buscamos contribuir al mejoramiento de la salud animal incorporando nuevos y mejores productos a nuestra linea veterinaria, para ello se ha puesto especial enfasis en la fabricacion de medicamentos de alta calidad, amplio margen de seguridad y probada eficacia, contribuyendo a forjar una mejor imagen en el trabajo del Medico Veterinario al ofrecerle productos confiables en su practica cotidiana."
Cooperativa Apicola Pionera de Honduras Limitada,Agricultura / Pesca / Ganaderia,"Siguatepeque, Comayagua","COAPIHL es una cooperativa productora de miel en Honduras, cuenta con mas de 130 socios, incluyendo mujeres, los cuales estan ubicados en todo el territorio nacional, con mayor concentracion en el departamento de La Paz. La Cooperativa ofrece asistencia tecnica, capacitaciones y equipo apicola tanto a socios como a personas interesadas en dedicarse a la apicultura aunque no esten afiliados a la misma, para asegurar una produccion adecuada, ademas se encarga de procesar y envasar la materia prima de los productores como ser: miel, polen, propoleos y jalea real para comercializarla a nivel nacional."
CACAO FINO Y MADERABLES DE HONDURAS,Agricultura / Pesca / Ganaderia,"Wampusirpe, Gracias a Dios",---
INVERSIONES H&N,Agricultura / Pesca / Ganaderia,"Distrito Central, Francisco Morazan","Inversiones H&N es una empresa hondurena dedicada a la venta y distribucion de insumos agricolas y semillas a nivel nacional, brindando servicios adicionales de asesorias y ensayos en campo."
Agroseleccion HN,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Somos una empresa dedicada a la comercializacion de Agro productos.
Farm Fresh,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Empresa agroindustrial dedicada a la produccion de jugo de pina organico para exportacion.
GALILTEC SA DE CV,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Galiltec es una empresa confiable y experimentada en produccion de plantas meristematicas asi como desarrollador de proyectos agricolas intensivos, Nuestro laboratorio produce anualmente millones de plantas de diferentes variedades, incluyendo plantas de banano, platano, energia renovable (biomasa), forestales, pina y otros. Somos expertos en el campo de la integracion de plantas de alta calidad y el desarrollo de proyectos exitosos. Durante las ultimas decadas, hemos suministrado plantas y desarrollado proyectos de agricultura intensiva en todo el mundo."
"AGRO IRIS, S. A",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Agroiris es una empresa que se dedica a la distribucion de insumos agricolas,"
Grupo Forestal de Golfo S.A.,Agricultura / Pesca / Ganaderia,Extranjero,Industria decicada al cultivo del bosque e industrializacion de sus productos. Somos una empresa forestal lider en nuestro estado. Nos dedicamos a la fabricacion de pallets y embalajes para industrias exportadoras.
Comercial Internacional de Granos de Honduras,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",CIGRAH Comercial Internacional de Granos de Honduras dedicados a la compra y exportacion de cafe fundada en la ciudad de SPS en noviembre 2000 pertenecemos al GRupo Mercon Cofee Group
Dipagri,Agricultura / Pesca / Ganaderia,"Comayagua, Comayagua",Distribuidora de Productos Agroindustriales Es una empresa dedicada a la venta de Alimentos Concentrados para animales NUTRISA
Xoco S.A.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Xoco S.A se dedica a la reproduccion de arboles de cacao fino en toda centroamerica, empresa con mas de 3 anos de operaciones."
Grupo Granjas Marinas,Agricultura / Pesca / Ganaderia,"Choluteca, Choluteca","Grupo Granjas Marinas es una empresa lider a nivel nacional e internacional en el cultivo ,procesamiento y comercializacion de productos pesqueros a base de excelencia ,calidad e inovacion. Comprometidos con el desarrollo sostenible de la acuicultura y el progreso y desarrollo del pais, a traves de la generacion de miles de empleos directos e indirectos, lo que contribuye al crecimiento economico de la zona sur. Comercializamos camaron de la mas alta calidad a diversos paises a nivel mundial. Nuestra filosofia: La mejora continua en cada una de nuestras actividades. Estamos ubicados en Choluteca y Valle."
Compania avicola Garcia,Agricultura / Pesca / Ganaderia,Francisco Morazan,Empresa dedicada a la venta de productos avicolas donde su objetivo es crecer de manera solida.
Monsanto Honduras San Pedro Sula,Agricultura / Pesca / Ganaderia,Lempira,Compania lider en tecnologia para el sector agricola con mas de 100 anos de experiencia en el mundo
Sembro Honduras S. de R.L.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Sembro Honduras es una empresa dedicada a la importacion, comercializacion de productos y prestadora de servicios para el sector agricola. El origen de su portafolio esta fundamentado en marcas propias de productos elaborados por multinacionales ubicadas en India y China especializadas en este tipo de procesos. A traves de nuestras soluciones para la agricultura, hoy contribuimos con la seguridad alimentaria de las personas no solo en Honduras sino en Centro America."
MAI HONDURAS,Agricultura / Pesca / Ganaderia,"Distrito Central, Francisco Morazan",Somos una empresa de Ventas de Agroquimicos amigables al ambiente al por mayor lider a nivel nacional y con sucursales a nivel mundial con sedes en Estados Unidos y Panama.
FRUTAS Y VEGETALES DEL GOLFO,Agricultura / Pesca / Ganaderia,"Choluteca, Choluteca","Frutas y Vegetales del Golfo S. de R.L. de C.V., es fundada finalmente a inicios del ano 2017. La empresa fue ideada desde el ano 2015, donde sus socios iniciaron conversaciones sobre su pasion por la agricultura, amor por la zona sur de Honduras y el sustento que brinda el mercado de la Okra a esta region y al pais. FRUVEGO S. de R.L. de C.V., es fundada bajo la promesa de entregar valor a los colaboradores, clientes, proveedores y socios, para hacer crecer la zona sur de Honduras, la cual es de las mas pobres del pais. Con personal con mas de cinco anos de experiencia en el cultivo de la Okra y siguiendo las mejores practicas agricolas, FRUVEGO S. de R.L. de C.V."
